Open Num,Trial Num,Run Num,Home Care Death,Home Care Recovered,Outpatient Death,Outpatient Recovered,Inpatient Death,Inpatient Recovered,Turned Away Death,Turned Away Recovered,
1,1,1,0,1135,15,882,37,485,36,266,
1,2,2,0,1206,14,880,45,475,40,312,
1,3,3,0,1168,11,892,46,447,21,285,
1,4,4,0,1143,22,859,39,480,39,316,
1,5,5,0,1141,14,878,42,475,40,266,
1,6,6,0,1194,16,834,38,473,39,244,
1,7,7,0,1205,20,826,33,486,31,257,
1,8,8,0,1209,20,836,42,471,21,279,
1,9,9,0,1192,22,886,42,453,28,287,
1,10,10,0,1144,19,880,42,452,29,276,
1,11,11,0,1182,13,890,35,458,24,279,
1,12,12,0,1206,17,900,39,450,36,262,
1,13,13,0,1139,14,860,51,444,29,251,
1,14,14,0,1217,15,910,38,453,35,266,
1,15,15,0,1145,15,899,47,468,25,257,
1,1,16,0,1173,16,902,37,472,35,252,
1,2,17,0,1206,14,880,38,490,40,294,
1,3,18,0,1168,11,892,48,449,26,276,
1,4,19,0,1143,22,859,40,485,41,307,
1,5,20,0,1141,14,878,43,481,35,263,
1,6,21,0,1194,16,834,36,478,39,240,
1,7,22,0,1205,20,826,41,484,30,251,
1,8,23,0,1209,20,836,39,479,26,268,
1,9,24,0,1192,22,886,38,467,32,274,
1,10,25,0,1144,19,880,39,459,33,267,
1,11,26,0,1182,13,890,35,463,21,276,
1,12,27,0,1206,17,900,38,456,30,263,
1,13,28,0,1139,14,860,50,451,28,254,
1,14,29,0,1217,15,910,37,471,34,238,
1,15,30,0,1145,15,899,45,479,30,241,
1,1,31,0,1173,16,902,45,470,33,247,
1,2,32,0,1206,14,880,41,491,36,302,
1,3,33,0,1168,11,892,45,460,20,273,
1,4,34,0,1143,22,859,40,488,40,304,
1,5,35,0,1141,14,878,40,491,32,258,
1,6,36,0,1194,16,834,34,485,35,239,
1,7,37,0,1205,20,826,35,496,28,246,
1,8,38,0,1209,20,836,39,490,22,259,
1,9,39,0,1192,22,886,37,474,24,276,
1,10,40,0,1144,19,880,40,464,30,263,
1,11,41,0,1182,13,890,40,470,28,258,
1,12,42,0,1206,17,900,39,461,27,259,
1,13,43,0,1139,14,860,50,455,27,241,
1,14,44,0,1217,15,910,36,477,34,233,
1,15,45,0,1145,15,899,44,477,24,250,
1,1,46,0,1173,16,902,45,474,34,241,
1,2,47,0,1206,14,880,39,512,36,273,
1,3,48,0,1168,11,892,41,468,24,265,
1,4,49,0,1143,22,859,43,495,46,288,
1,5,50,0,1141,14,878,42,502,32,244,
1,6,51,0,1194,16,834,45,478,35,234,
1,7,52,0,1205,20,826,35,499,27,232,
1,8,53,0,1209,20,836,41,485,23,260,
1,9,54,0,1192,22,886,41,472,29,265,
1,10,55,0,1144,19,880,46,473,31,246,
1,11,56,0,1182,13,890,37,476,26,252,
1,12,57,0,1206,17,900,37,467,35,248,
1,13,58,0,1139,14,860,53,461,29,230,
1,14,59,0,1217,15,910,37,474,34,239,
1,15,60,0,1145,15,899,40,480,26,260,
1,1,61,0,1173,16,902,39,489,25,240,
1,2,62,0,1206,14,880,38,514,36,280,
1,3,63,0,1168,11,892,45,468,24,261,
1,4,64,0,1143,22,859,43,472,33,300,
1,5,65,0,1141,14,878,44,502,35,238,
1,6,66,0,1194,16,834,41,490,38,223,
1,7,67,0,1205,20,826,37,501,28,226,
1,8,68,0,1209,20,836,36,502,26,243,
1,9,69,0,1192,22,886,41,474,26,268,
1,10,70,0,1144,19,880,48,455,31,242,
1,11,71,0,1182,13,890,37,484,31,239,
1,12,72,0,1206,17,900,33,475,32,247,
1,13,73,0,1139,14,860,58,465,23,227,
1,14,74,0,1217,15,910,39,477,30,235,
1,15,75,0,1145,15,899,50,484,25,235,
1,1,76,0,1173,16,902,45,491,27,229,
1,2,77,0,1206,14,880,39,522,37,262,
1,3,78,0,1168,11,892,43,472,23,259,
1,4,79,0,1143,22,859,42,505,42,292,
1,5,80,0,1141,14,878,46,503,33,236,
1,6,81,0,1194,16,834,38,493,41,218,
1,7,82,0,1205,20,826,31,511,32,217,
1,8,83,0,1209,20,836,38,504,24,241,
1,9,84,0,1192,22,886,37,482,26,263,
1,10,85,0,1144,19,880,47,460,32,237,
1,11,86,0,1182,13,890,41,482,26,241,
1,12,87,0,1206,17,900,32,491,25,239,
1,13,88,0,1139,14,860,52,471,22,227,
1,14,89,0,1217,15,910,37,482,33,230,
1,15,90,0,1145,15,899,46,492,26,229,
1,1,91,0,1173,16,902,45,502,22,230,
1,2,92,0,1206,14,880,39,517,38,272,
1,3,93,0,1168,11,892,44,479,28,246,
1,4,94,0,1143,22,859,41,510,47,285,
1,5,95,0,1141,14,878,47,494,26,251,
1,6,96,0,1194,16,834,40,494,40,215,
1,7,97,0,1205,20,826,33,512,26,219,
1,8,98,0,1209,20,836,41,504,24,238,
1,9,99,0,1192,22,886,41,482,22,262,
1,10,100,0,1144,19,880,50,461,25,240,
1,11,101,0,1182,13,890,39,491,26,233,
1,12,102,0,1206,17,900,30,495,24,236,
1,13,103,0,1139,14,860,51,480,22,219,
1,14,104,0,1217,15,910,37,487,31,226,
1,15,105,0,1145,15,899,41,497,24,243,
1,1,106,0,1173,16,902,41,511,31,215,
1,2,107,0,1206,14,880,43,514,32,270,
1,3,108,0,1168,11,892,45,481,26,244,
1,4,109,0,1143,22,859,39,492,32,284,
1,5,110,0,1141,14,878,44,506,26,240,
1,6,111,0,1194,16,834,40,497,38,213,
1,7,112,0,1205,20,826,34,511,24,220,
1,8,113,0,1209,20,836,39,509,24,235,
1,9,114,0,1192,22,886,42,484,23,257,
1,10,115,0,1144,19,880,50,469,23,250,
1,11,116,0,1182,13,890,37,497,23,231,
1,12,117,0,1206,17,900,28,502,27,229,
1,13,118,0,1139,14,860,50,485,22,214,
1,14,119,0,1217,15,910,39,488,32,220,
1,15,120,0,1145,15,899,44,498,30,233,
1,1,121,0,1173,16,902,40,507,27,215,
1,2,122,0,1206,14,880,40,520,31,267,
1,3,123,0,1168,11,892,46,482,26,242,
1,4,124,0,1143,22,859,45,508,36,263,
1,5,125,0,1141,14,878,42,503,24,247,
1,6,126,0,1194,16,834,37,507,34,208,
1,7,127,0,1205,20,826,35,512,23,218,
1,8,128,0,1209,20,836,40,510,21,236,
1,9,129,0,1192,22,886,34,510,27,226,
1,10,130,0,1144,19,880,47,486,23,235,
1,11,131,0,1182,13,890,35,505,20,228,
1,12,132,0,1206,17,900,33,487,24,241,
1,13,133,0,1139,14,860,50,492,21,208,
1,14,134,0,1217,15,910,37,493,34,215,
1,15,135,0,1145,15,899,40,506,32,225,
1,1,136,0,1173,16,902,41,515,24,204,
1,2,137,0,1206,14,880,41,522,30,265,
1,3,138,0,1168,11,892,49,481,23,242,
1,4,139,0,1143,22,859,42,514,42,253,
1,5,140,0,1141,14,878,51,505,30,229,
1,6,141,0,1194,16,834,40,501,35,210,
1,7,142,0,1205,20,826,35,512,23,218,
1,8,143,0,1209,20,836,43,503,19,230,
1,9,144,0,1192,22,886,38,503,28,235,
1,10,145,0,1144,19,880,46,488,19,237,
1,11,146,0,1182,13,890,36,504,22,226,
1,12,147,0,1206,17,900,34,502,25,225,
1,13,148,0,1139,14,860,50,494,19,208,
1,14,149,0,1217,15,910,41,495,31,212,
1,15,150,0,1145,15,899,40,508,25,229,
1,1,151,0,1173,16,902,45,514,20,204,
1,2,152,0,1206,14,880,37,530,24,267,
1,3,153,0,1168,11,892,46,485,19,244,
1,4,154,0,1143,22,859,39,531,39,256,
1,5,155,0,1141,14,878,51,506,26,231,
1,6,156,0,1194,16,834,42,500,38,205,
1,7,157,0,1205,20,826,35,513,22,218,
1,8,158,0,1209,20,836,42,514,23,228,
1,9,159,0,1192,22,886,40,504,26,234,
1,10,160,0,1144,19,880,51,483,18,225,
1,11,161,0,1182,13,890,39,515,16,203,
1,12,162,0,1206,17,900,35,490,28,231,
1,13,163,0,1139,14,860,52,499,20,200,
1,14,164,0,1217,15,910,44,493,30,212,
1,15,165,0,1145,15,899,46,507,24,241,
1,1,166,0,1173,16,902,45,515,19,204,
1,2,167,0,1206,14,880,40,530,30,256,
1,3,168,0,1168,11,892,41,492,18,242,
1,4,169,0,1143,22,859,44,528,43,249,
1,5,170,0,1141,14,878,50,509,30,217,
1,6,171,0,1194,16,834,40,510,35,200,
1,7,172,0,1205,20,826,32,516,20,223,
1,8,173,0,1209,20,836,44,513,23,227,
1,9,174,0,1192,22,886,44,503,27,229,
