Open Num,Trial Num,Run Num,Home Care Death,Home Care Recovered,Outpatient Death,Outpatient Recovered,Inpatient Death,Inpatient Recovered,Turned Away Death,Turned Away Recovered,
1,9,12091,0,6778,102,5031,0,0,688,4376,
1,10,12092,0,6564,98,4917,0,0,685,4314,
1,1,12093,0,6719,107,5060,0,0,676,4445,
1,2,12094,0,6823,82,5033,0,0,723,4413,
1,3,12095,0,6752,88,5074,0,0,740,4409,
1,4,12096,0,6744,116,5065,0,0,675,4452,
1,5,12097,0,6886,103,4974,0,0,683,4252,
1,6,12098,0,6788,92,5006,0,0,686,4265,
1,7,12099,0,6750,114,5056,0,0,647,4367,
1,8,12100,0,6642,105,5051,0,0,699,4453,
1,9,12101,0,6778,102,5031,0,0,688,4376,
1,10,12102,0,6564,98,4917,0,0,685,4314,
1,1,12103,0,6719,107,5060,0,0,676,4445,
1,2,12104,0,6823,82,5033,0,0,723,4413,
1,3,12105,0,6752,88,5074,0,0,740,4409,
1,4,12106,0,6744,116,5065,0,0,675,4452,
1,5,12107,0,6886,103,4974,0,0,683,4252,
1,6,12108,0,6788,92,5006,0,0,686,4265,
1,7,12109,0,6750,114,5056,0,0,647,4367,
1,8,12110,0,6642,105,5051,0,0,699,4453,
1,9,12111,0,6778,102,5031,0,0,688,4376,
1,10,12112,0,6564,98,4917,0,0,685,4314,
1,1,12113,0,6719,107,5060,0,0,676,4445,
1,2,12114,0,6823,82,5033,0,0,723,4413,
1,3,12115,0,6752,88,5074,0,0,740,4409,
1,4,12116,0,6744,116,5065,0,0,675,4452,
1,5,12117,0,6886,103,4974,0,0,683,4252,
1,6,12118,0,6788,92,5006,0,0,686,4265,
1,7,12119,0,6750,114,5056,0,0,647,4367,
1,8,12120,0,6642,105,5051,0,0,699,4453,
1,9,12121,0,6778,102,5031,0,0,688,4376,
1,10,12122,0,6564,98,4917,0,0,685,4314,
1,1,12123,0,6719,107,5060,0,0,676,4445,
1,2,12124,0,6823,82,5033,0,0,723,4413,
1,3,12125,0,6752,88,5074,0,0,740,4409,
1,4,12126,0,6744,116,5065,0,0,675,4452,
1,5,12127,0,6886,103,4974,0,0,683,4252,
1,6,12128,0,6788,92,5006,0,0,686,4265,
1,7,12129,0,6750,114,5056,0,0,647,4367,
1,8,12130,0,6642,105,5051,0,0,699,4453,
1,9,12131,0,6778,102,5031,0,0,688,4376,
1,10,12132,0,6564,98,4917,0,0,685,4314,
1,1,12133,0,6719,107,5060,0,0,676,4445,
1,2,12134,0,6823,82,5033,0,0,723,4413,
1,3,12135,0,6752,88,5074,0,0,740,4409,
1,4,12136,0,6744,116,5065,0,0,675,4452,
1,5,12137,0,6886,103,4974,0,0,683,4252,
1,6,12138,0,6788,92,5006,0,0,686,4265,
1,7,12139,0,6750,114,5056,0,0,647,4367,
1,8,12140,0,6642,105,5051,0,0,699,4453,
1,9,12141,0,6778,102,5031,0,0,688,4376,
