Seeking And Acuity,Received: Home,Received: OP,Received: M/S,Received: ICU,Received: Turned Away,Run Number,
Sought: Home,6733,0,0,0,0,1,
Sought: OP,0,5251,0,0,0,1,
Sought: IP,0,3545,939,162,0,1,
Acuity 1,0,0,0,0,0,1,
Acuity 2,6733,0,0,0,0,1,
Acuity 3,0,5251,0,0,0,1,
Acuity 4,0,2618,790,0,0,1,
Acuity 5,0,927,149,162,0,1,
Sought: Home,6823,0,0,0,0,2,
Sought: OP,0,5115,0,0,0,2,
Sought: IP,0,3738,780,153,0,2,
Acuity 1,0,0,0,0,0,2,
Acuity 2,6823,0,0,0,0,2,
Acuity 3,0,5115,0,0,0,2,
Acuity 4,0,2740,635,0,0,2,
Acuity 5,0,998,145,153,0,2,
Sought: Home,6752,0,0,0,0,3,
Sought: OP,0,5162,0,0,0,3,
Sought: IP,0,4697,177,230,0,3,
Acuity 1,0,0,0,0,0,3,
Acuity 2,6752,0,0,0,0,3,
Acuity 3,0,5162,0,0,0,3,
Acuity 4,0,3589,129,0,0,3,
Acuity 5,0,1108,48,230,0,3,
Sought: Home,6744,0,0,0,0,4,
Sought: OP,0,5181,0,0,0,4,
Sought: IP,0,3822,885,178,0,4,
Acuity 1,0,0,0,0,0,4,
Acuity 2,6744,0,0,0,0,4,
Acuity 3,0,5181,0,0,0,4,
Acuity 4,0,2880,712,0,0,4,
Acuity 5,0,942,173,178,0,4,
Sought: Home,6886,0,0,0,0,5,
Sought: OP,0,5077,0,0,0,5,
Sought: IP,0,3538,883,150,0,5,
Acuity 1,0,0,0,0,0,5,
Acuity 2,6886,0,0,0,0,5,
Acuity 3,0,5077,0,0,0,5,
Acuity 4,0,2612,732,0,0,5,
Acuity 5,0,926,151,150,0,5,
Sought: Home,6788,0,0,0,0,6,
Sought: OP,0,5098,0,0,0,6,
Sought: IP,0,3783,910,168,0,6,
Acuity 1,0,0,0,0,0,6,
Acuity 2,6788,0,0,0,0,6,
Acuity 3,0,5098,0,0,0,6,
Acuity 4,0,2818,763,0,0,6,
Acuity 5,0,965,147,168,0,6,
Sought: Home,6750,0,0,0,0,7,
Sought: OP,0,5170,0,0,0,7,
Sought: IP,0,3623,845,146,0,7,
Acuity 1,0,0,0,0,0,7,
Acuity 2,6750,0,0,0,0,7,
Acuity 3,0,5170,0,0,0,7,
Acuity 4,0,2626,702,0,0,7,
Acuity 5,0,997,143,146,0,7,
Sought: Home,0,0,0,0,0,8,
Sought: OP,0,0,0,0,0,8,
Sought: IP,0,0,0,0,0,8,
Acuity 1,0,0,0,0,0,8,
Acuity 2,0,0,0,0,0,8,
Acuity 3,0,0,0,0,0,8,
Acuity 4,0,0,0,0,0,8,
Acuity 5,0,0,0,0,0,8,
Sought: Home,6642,0,0,0,0,9,
Sought: OP,0,5156,0,0,0,9,
Sought: IP,0,3642,903,179,0,9,
Acuity 1,0,0,0,0,0,9,
Acuity 2,6642,0,0,0,0,9,
Acuity 3,0,5156,0,0,0,9,
Acuity 4,0,2684,758,0,0,9,
Acuity 5,0,958,145,179,0,9,
Sought: Home,6778,0,0,0,0,10,
Sought: OP,0,5133,0,0,0,10,
Sought: IP,0,3776,778,148,0,10,
Acuity 1,0,0,0,0,0,10,
Acuity 2,6778,0,0,0,0,10,
Acuity 3,0,5133,0,0,0,10,
Acuity 4,0,2758,658,0,0,10,
Acuity 5,0,1018,120,148,0,10,
Sought: Home,6564,0,0,0,0,11,
Sought: OP,0,5015,0,0,0,11,
Sought: IP,0,3668,778,165,0,11,
Acuity 1,0,0,0,0,0,11,
Acuity 2,6564,0,0,0,0,11,
Acuity 3,0,5015,0,0,0,11,
Acuity 4,0,2700,646,0,0,11,
Acuity 5,0,968,132,165,0,11,
Sought: Home,6719,0,0,0,0,12,
Sought: OP,0,5167,0,0,0,12,
Sought: IP,0,3756,783,160,0,12,
Acuity 1,0,0,0,0,0,12,
