Seeking And Acuity,Received: Home,Received: OP,Received: M/S,Received: ICU,Received: Turned Away,Run Number,
Acuity 2,6719,0,0,0,0,12,
Acuity 3,0,5167,0,0,0,12,
Acuity 4,0,2821,632,0,0,12,
Acuity 5,0,935,151,160,0,12,
Sought: Home,6823,0,0,0,0,13,
Sought: OP,0,5115,0,0,0,13,
Sought: IP,0,3730,804,161,0,13,
Acuity 1,0,0,0,0,0,13,
Acuity 2,6823,0,0,0,0,13,
Acuity 3,0,5115,0,0,0,13,
Acuity 4,0,2715,661,0,0,13,
Acuity 5,0,1015,143,161,0,13,
Sought: Home,6752,0,0,0,0,14,
Sought: OP,0,5162,0,0,0,14,
Sought: IP,0,3676,912,195,0,14,
Acuity 1,0,0,0,0,0,14,
Acuity 2,6752,0,0,0,0,14,
Acuity 3,0,5162,0,0,0,14,
Acuity 4,0,2709,733,0,0,14,
Acuity 5,0,967,179,195,0,14,
Sought: Home,6744,0,0,0,0,15,
Sought: OP,0,5181,0,0,0,15,
Sought: IP,0,3811,880,193,0,15,
Acuity 1,0,0,0,0,0,15,
Acuity 2,6744,0,0,0,0,15,
Acuity 3,0,5181,0,0,0,15,
Acuity 4,0,2875,719,0,0,15,
Acuity 5,0,936,161,193,0,15,
Sought: Home,6886,0,0,0,0,16,
Sought: OP,0,5077,0,0,0,16,
Sought: IP,0,3532,873,165,0,16,
Acuity 1,0,0,0,0,0,16,
Acuity 2,6886,0,0,0,0,16,
Acuity 3,0,5077,0,0,0,16,
Acuity 4,0,2609,735,0,0,16,
Acuity 5,0,923,138,165,0,16,
Sought: Home,6788,0,0,0,0,17,
Sought: OP,0,5098,0,0,0,17,
Sought: IP,0,3778,916,176,0,17,
Acuity 1,0,0,0,0,0,17,
Acuity 2,6788,0,0,0,0,17,
Acuity 3,0,5098,0,0,0,17,
Acuity 4,0,2814,774,0,0,17,
Acuity 5,0,964,142,176,0,17,
Sought: Home,6750,0,0,0,0,18,
Sought: OP,0,5170,0,0,0,18,
Sought: IP,0,3608,843,162,0,18,
Acuity 1,0,0,0,0,0,18,
Acuity 2,6750,0,0,0,0,18,
Acuity 3,0,5170,0,0,0,18,
Acuity 4,0,2619,709,0,0,18,
Acuity 5,0,989,134,162,0,18,
Sought: Home,6642,0,0,0,0,19,
Sought: OP,0,5156,0,0,0,19,
Sought: IP,0,3634,895,193,0,19,
Acuity 1,0,0,0,0,0,19,
Acuity 2,6642,0,0,0,0,19,
Acuity 3,0,5156,0,0,0,19,
Acuity 4,0,2679,761,0,0,19,
Acuity 5,0,955,134,193,0,19,
Sought: Home,6778,0,0,0,0,20,
Sought: OP,0,5133,0,0,0,20,
Sought: IP,0,3771,771,159,0,20,
Acuity 1,0,0,0,0,0,20,
Acuity 2,6778,0,0,0,0,20,
Acuity 3,0,5133,0,0,0,20,
Acuity 4,0,2759,656,0,0,20,
Acuity 5,0,1012,115,159,0,20,
Sought: Home,6564,0,0,0,0,21,
Sought: OP,0,5015,0,0,0,21,
Sought: IP,0,3662,766,183,0,21,
Acuity 1,0,0,0,0,0,21,
Acuity 2,6564,0,0,0,0,21,
Acuity 3,0,5015,0,0,0,21,
Acuity 4,0,2697,648,0,0,21,
Acuity 5,0,965,118,183,0,21,
Sought: Home,6719,0,0,0,0,22,
Sought: OP,0,5167,0,0,0,22,
Sought: IP,0,3749,774,171,0,22,
Acuity 1,0,0,0,0,0,22,
Acuity 2,6719,0,0,0,0,22,
Acuity 3,0,5167,0,0,0,22,
Acuity 4,0,2820,633,0,0,22,
Acuity 5,0,929,141,171,0,22,
Sought: Home,6823,0,0,0,0,23,
Sought: OP,0,5115,0,0,0,23,
Sought: IP,0,3725,790,179,0,23,
Acuity 1,0,0,0,0,0,23,
Acuity 2,6823,0,0,0,0,23,
Acuity 3,0,5115,0,0,0,23,
Acuity 4,0,2714,662,0,0,23,
Acuity 5,0,1011,128,179,0,23,
Sought: Home,6752,0,0,0,0,24,
Sought: OP,0,5162,0,0,0,24,
Sought: IP,0,3672,908,203,0,24,
Acuity 1,0,0,0,0,0,24,
Acuity 2,6752,0,0,0,0,24,
Acuity 3,0,5162,0,0,0,24,
Acuity 4,0,2708,734,0,0,24,
Acuity 5,0,964,174,203,0,24,
Sought: Home,6744,0,0,0,0,25,
Sought: OP,0,5181,0,0,0,25,
Sought: IP,0,3811,851,221,0,25,
Acuity 1,0,0,0,0,0,25,
Acuity 2,6744,0,0,0,0,25,
Acuity 3,0,5181,0,0,0,25,
Acuity 4,0,2877,716,0,0,25,
Acuity 5,0,934,135,221,0,25,
Sought: Home,6886,0,0,0,0,26,
Sought: OP,0,5077,0,0,0,26,
Sought: IP,0,3522,874,173,0,26,
Acuity 1,0,0,0,0,0,26,
Acuity 2,6886,0,0,0,0,26,
Acuity 3,0,5077,0,0,0,26,
Acuity 4,0,2601,743,0,0,26,
Acuity 5,0,921,131,173,0,26,
Sought: Home,6788,0,0,0,0,27,
Sought: OP,0,5098,0,0,0,27,
Sought: IP,0,3771,956,189,0,27,
Acuity 1,0,0,0,0,0,27,
Acuity 2,6788,0,0,0,0,27,
Acuity 3,0,5098,0,0,0,27,
Acuity 4,0,2802,804,0,0,27,
Acuity 5,0,969,152,189,0,27,
Sought: Home,6750,0,0,0,0,28,
Sought: OP,0,5170,0,0,0,28,
Sought: IP,0,3601,832,179,0,28,
Acuity 1,0,0,0,0,0,28,
Acuity 2,6750,0,0,0,0,28,
Acuity 3,0,5170,0,0,0,28,
Acuity 4,0,2616,711,0,0,28,
Acuity 5,0,985,121,179,0,28,
Sought: Home,6642,0,0,0,0,29,
Sought: OP,0,5156,0,0,0,29,
Sought: IP,0,3784,781,168,0,29,
Acuity 1,0,0,0,0,0,29,
Acuity 2,6642,0,0,0,0,29,
Acuity 3,0,5156,0,0,0,29,
Acuity 4,0,2813,638,0,0,29,
Acuity 5,0,971,143,168,0,29,
Sought: Home,6778,0,0,0,0,30,
Sought: OP,0,5133,0,0,0,30,
Sought: IP,0,3722,1003,179,0,30,
Acuity 1,0,0,0,0,0,30,
Acuity 2,6778,0,0,0,0,30,
Acuity 3,0,5133,0,0,0,30,
Acuity 4,0,2700,858,0,0,30,
Acuity 5,0,1022,145,179,0,30,
Sought: Home,6564,0,0,0,0,31,
Sought: OP,0,5015,0,0,0,31,
Sought: IP,0,3657,756,197,0,31,
Acuity 1,0,0,0,0,0,31,
Acuity 2,6564,0,0,0,0,31,
Acuity 3,0,5015,0,0,0,31,
Acuity 4,0,2695,650,0,0,31,
Acuity 5,0,962,106,197,0,31,
Sought: Home,6719,0,0,0,0,32,
Sought: OP,0,5167,0,0,0,32,
Sought: IP,0,3924,931,177,0,32,
Acuity 1,0,0,0,0,0,32,
Acuity 2,6719,0,0,0,0,32,
Acuity 3,0,5167,0,0,0,32,
Acuity 4,0,2895,816,0,0,32,
Acuity 5,0,1029,115,177,0,32,
Sought: Home,6823,0,0,0,0,33,
Sought: OP,0,5115,0,0,0,33,
Sought: IP,0,3719,765,185,0,33,
Acuity 1,0,0,0,0,0,33,
Acuity 2,6823,0,0,0,0,33,
Acuity 3,0,5115,0,0,0,33,
Acuity 4,0,2728,648,0,0,33,
Acuity 5,0,991,117,185,0,33,
Sought: Home,6752,0,0,0,0,34,
Sought: OP,0,5162,0,0,0,34,
Sought: IP,0,3718,830,189,0,34,
Acuity 1,0,0,0,0,0,34,
Acuity 2,6752,0,0,0,0,34,
Acuity 3,0,5162,0,0,0,34,
Acuity 4,0,2687,714,0,0,34,
Acuity 5,0,1031,116,189,0,34,
Sought: Home,6744,0,0,0,0,35,
Sought: OP,0,5181,0,0,0,35,
Sought: IP,0,3805,844,233,0,35,
Acuity 1,0,0,0,0,0,35,
Acuity 2,6744,0,0,0,0,35,
Acuity 3,0,5181,0,0,0,35,
Acuity 4,0,2873,719,0,0,35,
Acuity 5,0,932,125,233,0,35,
Sought: Home,6886,0,0,0,0,36,
Sought: OP,0,5077,0,0,0,36,
Sought: IP,0,3508,880,180,0,36,
Acuity 1,0,0,0,0,0,36,
Acuity 2,6886,0,0,0,0,36,
Acuity 3,0,5077,0,0,0,36,
Acuity 4,0,2591,755,0,0,36,
Acuity 5,0,917,125,180,0,36,
Sought: Home,6788,0,0,0,0,37,
Sought: OP,0,5098,0,0,0,37,
Sought: IP,0,3766,952,197,0,37,
Acuity 1,0,0,0,0,0,37,
Acuity 2,6788,0,0,0,0,37,
Acuity 3,0,5098,0,0,0,37,
Acuity 4,0,2802,805,0,0,37,
Acuity 5,0,964,147,197,0,37,
Sought: Home,6750,0,0,0,0,38,
Sought: OP,0,5170,0,0,0,38,
Sought: IP,0,3596,824,191,0,38,
Acuity 1,0,0,0,0,0,38,
Acuity 2,6750,0,0,0,0,38,
Acuity 3,0,5170,0,0,0,38,
Acuity 4,0,2612,714,0,0,38,
Acuity 5,0,984,110,191,0,38,
Sought: Home,6642,0,0,0,0,39,
Sought: OP,0,5156,0,0,0,39,
Sought: IP,0,3617,891,213,0,39,
Acuity 1,0,0,0,0,0,39,
Acuity 2,6642,0,0,0,0,39,
Acuity 3,0,5156,0,0,0,39,
Acuity 4,0,2668,774,0,0,39,
Acuity 5,0,949,117,213,0,39,
Sought: Home,6778,0,0,0,0,40,
Sought: OP,0,5133,0,0,0,40,
Sought: IP,0,3595,913,171,0,40,
Acuity 1,0,0,0,0,0,40,
Acuity 2,6778,0,0,0,0,40,
Acuity 3,0,5133,0,0,0,40,
Acuity 4,0,2629,778,0,0,40,
Acuity 5,0,966,135,171,0,40,
Sought: Home,6564,0,0,0,0,41,
Sought: OP,0,5015,0,0,0,41,
Sought: IP,0,3652,751,208,0,41,
Acuity 1,0,0,0,0,0,41,
Acuity 2,6564,0,0,0,0,41,
Acuity 3,0,5015,0,0,0,41,
Acuity 4,0,2692,653,0,0,41,
Acuity 5,0,960,98,208,0,41,
Sought: Home,6719,0,0,0,0,42,
Sought: OP,0,5167,0,0,0,42,
Sought: IP,0,3709,839,175,0,42,
Acuity 1,0,0,0,0,0,42,
Acuity 2,6719,0,0,0,0,42,
Acuity 3,0,5167,0,0,0,42,
Acuity 4,0,2748,715,0,0,42,
Acuity 5,0,961,124,175,0,42,
Sought: Home,6823,0,0,0,0,43,
Sought: OP,0,5115,0,0,0,43,
Sought: IP,0,3758,774,199,0,43,
Acuity 1,0,0,0,0,0,43,
Acuity 2,6823,0,0,0,0,43,
Acuity 3,0,5115,0,0,0,43,
Acuity 4,0,2745,667,0,0,43,
Acuity 5,0,1013,107,199,0,43,
Sought: Home,6752,0,0,0,0,44,
Sought: OP,0,5162,0,0,0,44,
Sought: IP,0,3806,934,242,0,44,
Acuity 1,0,0,0,0,0,44,
Acuity 2,6752,0,0,0,0,44,
Acuity 3,0,5162,0,0,0,44,
Acuity 4,0,2818,786,0,0,44,
Acuity 5,0,988,148,242,0,44,
Sought: Home,6744,0,0,0,0,45,
Sought: OP,0,5181,0,0,0,45,
Sought: IP,0,3674,827,226,0,45,
Acuity 1,0,0,0,0,0,45,
Acuity 2,6744,0,0,0,0,45,
Acuity 3,0,5181,0,0,0,45,
Acuity 4,0,2750,726,0,0,45,
Acuity 5,0,924,101,226,0,45,
Sought: Home,6886,0,0,0,0,46,
Sought: OP,0,5077,0,0,0,46,
Sought: IP,0,3504,876,188,0,46,
Acuity 1,0,0,0,0,0,46,
Acuity 2,6886,0,0,0,0,46,
Acuity 3,0,5077,0,0,0,46,
Acuity 4,0,2589,757,0,0,46,
Acuity 5,0,915,119,188,0,46,
Sought: Home,6788,0,0,0,0,47,
Sought: OP,0,5098,0,0,0,47,
Sought: IP,0,3763,909,208,0,47,
Acuity 1,0,0,0,0,0,47,
Acuity 2,6788,0,0,0,0,47,
Acuity 3,0,5098,0,0,0,47,
Acuity 4,0,2809,788,0,0,47,
Acuity 5,0,954,121,208,0,47,
Sought: Home,6750,0,0,0,0,48,
Sought: OP,0,5170,0,0,0,48,
Sought: IP,0,3591,818,201,0,48,
Acuity 1,0,0,0,0,0,48,
Acuity 2,6750,0,0,0,0,48,
Acuity 3,0,5170,0,0,0,48,
Acuity 4,0,2611,714,0,0,48,
Acuity 5,0,980,104,201,0,48,
Sought: Home,6642,0,0,0,0,49,
Sought: OP,0,5156,0,0,0,49,
Sought: IP,0,3675,862,215,0,49,
Acuity 1,0,0,0,0,0,49,
Acuity 2,6642,0,0,0,0,49,
Acuity 3,0,5156,0,0,0,49,
Acuity 4,0,2690,768,0,0,49,
Acuity 5,0,985,94,215,0,49,
Sought: Home,6778,0,0,0,0,50,
Sought: OP,0,5133,0,0,0,50,
Sought: IP,0,3588,906,184,0,50,
Acuity 1,0,0,0,0,0,50,
Acuity 2,6778,0,0,0,0,50,
Acuity 3,0,5133,0,0,0,50,
Acuity 4,0,2626,780,0,0,50,
Acuity 5,0,962,126,184,0,50,
Sought: Home,6564,0,0,0,0,51,
Sought: OP,0,5015,0,0,0,51,
Sought: IP,0,3648,752,211,0,51,
Acuity 1,0,0,0,0,0,51,
Acuity 2,6564,0,0,0,0,51,
Acuity 3,0,5015,0,0,0,51,
Acuity 4,0,2689,656,0,0,51,
Acuity 5,0,959,96,211,0,51,
Sought: Home,6719,0,0,0,0,52,
Sought: OP,0,5167,0,0,0,52,
Sought: IP,0,3706,830,187,0,52,
Acuity 1,0,0,0,0,0,52,
Acuity 2,6719,0,0,0,0,52,
Acuity 3,0,5167,0,0,0,52,
Acuity 4,0,2748,716,0,0,52,
Acuity 5,0,958,114,187,0,52,
Sought: Home,6823,0,0,0,0,53,
Sought: OP,0,5115,0,0,0,53,
Sought: IP,0,3718,757,219,0,53,
Acuity 1,0,0,0,0,0,53,
Acuity 2,6823,0,0,0,0,53,
Acuity 3,0,5115,0,0,0,53,
Acuity 4,0,2726,650,0,0,53,
Acuity 5,0,992,107,219,0,53,
Sought: Home,6752,0,0,0,0,54,
Sought: OP,0,5162,0,0,0,54,
Sought: IP,0,3696,871,215,0,54,
Acuity 1,0,0,0,0,0,54,
Acuity 2,6752,0,0,0,0,54,
Acuity 3,0,5162,0,0,0,54,
Acuity 4,0,2716,739,0,0,54,
Acuity 5,0,980,132,215,0,54,
Sought: Home,6744,0,0,0,0,55,
Sought: OP,0,5181,0,0,0,55,
Sought: IP,0,3667,824,235,0,55,
Acuity 1,0,0,0,0,0,55,
Acuity 2,6744,0,0,0,0,55,
Acuity 3,0,5181,0,0,0,55,
Acuity 4,0,2747,730,0,0,55,
Acuity 5,0,920,94,235,0,55,
Sought: Home,6886,0,0,0,0,56,
Sought: OP,0,5077,0,0,0,56,
Sought: IP,0,3496,868,200,0,56,
Acuity 1,0,0,0,0,0,56,
Acuity 2,6886,0,0,0,0,56,
Acuity 3,0,5077,0,0,0,56,
Acuity 4,0,2593,754,0,0,56,
Acuity 5,0,903,114,200,0,56,
Sought: Home,6788,0,0,0,0,57,
Sought: OP,0,5098,0,0,0,57,
Sought: IP,0,3699,915,213,0,57,
Acuity 1,0,0,0,0,0,57,
Acuity 2,6788,0,0,0,0,57,
Acuity 3,0,5098,0,0,0,57,
Acuity 4,0,2721,801,0,0,57,
Acuity 5,0,978,114,213,0,57,
Sought: Home,6750,0,0,0,0,58,
Sought: OP,0,5170,0,0,0,58,
Sought: IP,0,3586,827,196,0,58,
Acuity 1,0,0,0,0,0,58,
Acuity 2,6750,0,0,0,0,58,
Acuity 3,0,5170,0,0,0,58,
Acuity 4,0,2596,728,0,0,58,
Acuity 5,0,990,99,196,0,58,
Sought: Home,6642,0,0,0,0,59,
Sought: OP,0,5156,0,0,0,59,
Sought: IP,0,3668,850,232,0,59,
Acuity 1,0,0,0,0,0,59,
Acuity 2,6642,0,0,0,0,59,
Acuity 3,0,5156,0,0,0,59,
Acuity 4,0,2690,770,0,0,59,
Acuity 5,0,978,80,232,0,59,
Sought: Home,6778,0,0,0,0,60,
Sought: OP,0,5133,0,0,0,60,
Sought: IP,0,3632,814,207,0,60,
Acuity 1,0,0,0,0,0,60,
Acuity 2,6778,0,0,0,0,60,
Acuity 3,0,5133,0,0,0,60,
Acuity 4,0,2675,709,0,0,60,
Acuity 5,0,957,105,207,0,60,
Sought: Home,6564,0,0,0,0,61,
Sought: OP,0,5015,0,0,0,61,
Sought: IP,0,3643,747,217,0,61,
Acuity 1,0,0,0,0,0,61,
Acuity 2,6564,0,0,0,0,61,
Acuity 3,0,5015,0,0,0,61,
Acuity 4,0,2692,654,0,0,61,
Acuity 5,0,951,93,217,0,61,
Sought: Home,6719,0,0,0,0,62,
Sought: OP,0,5167,0,0,0,62,
Sought: IP,0,3702,823,196,0,62,
Acuity 1,0,0,0,0,0,62,
Acuity 2,6719,0,0,0,0,62,
Acuity 3,0,5167,0,0,0,62,
Acuity 4,0,2745,716,0,0,62,
Acuity 5,0,957,107,196,0,62,
Sought: Home,6823,0,0,0,0,63,
Sought: OP,0,5115,0,0,0,63,
Sought: IP,0,3709,760,221,0,63,
Acuity 1,0,0,0,0,0,63,
Acuity 2,6823,0,0,0,0,63,
Acuity 3,0,5115,0,0,0,63,
Acuity 4,0,2711,664,0,0,63,
Acuity 5,0,998,96,221,0,63,
Sought: Home,6752,0,0,0,0,64,
Sought: OP,0,5162,0,0,0,64,
Sought: IP,0,3693,855,234,0,64,
Acuity 1,0,0,0,0,0,64,
Acuity 2,6752,0,0,0,0,64,
Acuity 3,0,5162,0,0,0,64,
Acuity 4,0,2719,736,0,0,64,
Acuity 5,0,974,119,234,0,64,
Sought: Home,6744,0,0,0,0,65,
Sought: OP,0,5181,0,0,0,65,
Sought: IP,0,3661,818,246,0,65,
Acuity 1,0,0,0,0,0,65,
Acuity 2,6744,0,0,0,0,65,
Acuity 3,0,5181,0,0,0,65,
Acuity 4,0,2745,732,0,0,65,
Acuity 5,0,916,86,246,0,65,
Sought: Home,6886,0,0,0,0,66,
Sought: OP,0,5077,0,0,0,66,
Sought: IP,0,3491,866,206,0,66,
Acuity 1,0,0,0,0,0,66,
Acuity 2,6886,0,0,0,0,66,
Acuity 3,0,5077,0,0,0,66,
Acuity 4,0,2589,757,0,0,66,
Acuity 5,0,902,109,206,0,66,
Sought: Home,6788,0,0,0,0,67,
Sought: OP,0,5098,0,0,0,67,
Sought: IP,0,3606,906,227,0,67,
Acuity 1,0,0,0,0,0,67,
Acuity 2,6788,0,0,0,0,67,
Acuity 3,0,5098,0,0,0,67,
Acuity 4,0,2641,801,0,0,67,
Acuity 5,0,965,105,227,0,67,
Sought: Home,6750,0,0,0,0,68,
Sought: OP,0,5170,0,0,0,68,
Sought: IP,0,3580,821,207,0,68,
Acuity 1,0,0,0,0,0,68,
Acuity 2,6750,0,0,0,0,68,
Acuity 3,0,5170,0,0,0,68,
Acuity 4,0,2592,731,0,0,68,
Acuity 5,0,988,90,207,0,68,
Sought: Home,6642,0,0,0,0,69,
Sought: OP,0,5156,0,0,0,69,
Sought: IP,0,3670,842,239,0,69,
Acuity 1,0,0,0,0,0,69,
Acuity 2,6642,0,0,0,0,69,
Acuity 3,0,5156,0,0,0,69,
Acuity 4,0,2694,763,0,0,69,
Acuity 5,0,976,79,239,0,69,
Sought: Home,6778,0,0,0,0,70,
Sought: OP,0,5133,0,0,0,70,
Sought: IP,0,3627,812,215,0,70,
Acuity 1,0,0,0,0,0,70,
Acuity 2,6778,0,0,0,0,70,
Acuity 3,0,5133,0,0,0,70,
Acuity 4,0,2671,714,0,0,70,
Acuity 5,0,956,98,215,0,70,
Sought: Home,6564,0,0,0,0,71,
Sought: OP,0,5015,0,0,0,71,
Sought: IP,0,3636,738,229,0,71,
Acuity 1,0,0,0,0,0,71,
Acuity 2,6564,0,0,0,0,71,
Acuity 3,0,5015,0,0,0,71,
Acuity 4,0,2690,658,0,0,71,
Acuity 5,0,946,80,229,0,71,
Sought: Home,6719,0,0,0,0,72,
Sought: OP,0,5167,0,0,0,72,
Sought: IP,0,3697,821,203,0,72,
Acuity 1,0,0,0,0,0,72,
Acuity 2,6719,0,0,0,0,72,
Acuity 3,0,5167,0,0,0,72,
Acuity 4,0,2740,721,0,0,72,
Acuity 5,0,957,100,203,0,72,
Sought: Home,6823,0,0,0,0,73,
Sought: OP,0,5115,0,0,0,73,
Sought: IP,0,3706,760,227,0,73,
Acuity 1,0,0,0,0,0,73,
Acuity 2,6823,0,0,0,0,73,
Acuity 3,0,5115,0,0,0,73,
Acuity 4,0,2711,667,0,0,73,
Acuity 5,0,995,93,227,0,73,
Sought: Home,6752,0,0,0,0,74,
Sought: OP,0,5162,0,0,0,74,
Sought: IP,0,3689,845,247,0,74,
Acuity 1,0,0,0,0,0,74,
Acuity 2,6752,0,0,0,0,74,
Acuity 3,0,5162,0,0,0,74,
Acuity 4,0,2722,734,0,0,74,
Acuity 5,0,967,111,247,0,74,
Sought: Home,6744,0,0,0,0,75,
Sought: OP,0,5181,0,0,0,75,
Sought: IP,0,3671,951,251,0,75,
Acuity 1,0,0,0,0,0,75,
Acuity 2,6744,0,0,0,0,75,
Acuity 3,0,5181,0,0,0,75,
Acuity 4,0,2751,845,0,0,75,
Acuity 5,0,920,106,251,0,75,
Sought: Home,6886,0,0,0,0,76,
Sought: OP,0,5077,0,0,0,76,
Sought: IP,0,3509,825,214,0,76,
Acuity 1,0,0,0,0,0,76,
Acuity 2,6886,0,0,0,0,76,
Acuity 3,0,5077,0,0,0,76,
Acuity 4,0,2595,741,0,0,76,
Acuity 5,0,914,84,214,0,76,
Sought: Home,6788,0,0,0,0,77,
Sought: OP,0,5098,0,0,0,77,
Sought: IP,0,3601,891,245,0,77,
Acuity 1,0,0,0,0,0,77,
Acuity 2,6788,0,0,0,0,77,
Acuity 3,0,5098,0,0,0,77,
Acuity 4,0,2640,800,0,0,77,
Acuity 5,0,961,91,245,0,77,
Sought: Home,6750,0,0,0,0,78,
Sought: OP,0,5170,0,0,0,78,
Sought: IP,0,3577,822,208,0,78,
Acuity 1,0,0,0,0,0,78,
Acuity 2,6750,0,0,0,0,78,
Acuity 3,0,5170,0,0,0,78,
Acuity 4,0,2591,732,0,0,78,
Acuity 5,0,986,90,208,0,78,
Sought: Home,6642,0,0,0,0,79,
Sought: OP,0,5156,0,0,0,79,
Sought: IP,0,3664,839,247,0,79,
Acuity 1,0,0,0,0,0,79,
Acuity 2,6642,0,0,0,0,79,
Acuity 3,0,5156,0,0,0,79,
Acuity 4,0,2695,765,0,0,79,
Acuity 5,0,969,74,247,0,79,
Sought: Home,6778,0,0,0,0,80,
Sought: OP,0,5133,0,0,0,80,
Sought: IP,0,3550,860,234,0,80,
Acuity 1,0,0,0,0,0,80,
Acuity 2,6778,0,0,0,0,80,
Acuity 3,0,5133,0,0,0,80,
Acuity 4,0,2613,756,0,0,80,
Acuity 5,0,937,104,234,0,80,
Sought: Home,6564,0,0,0,0,81,
Sought: OP,0,5015,0,0,0,81,
Sought: IP,0,3632,727,244,0,81,
Acuity 1,0,0,0,0,0,81,
Acuity 2,6564,0,0,0,0,81,
Acuity 3,0,5015,0,0,0,81,
Acuity 4,0,2694,654,0,0,81,
Acuity 5,0,938,73,244,0,81,
Sought: Home,6719,0,0,0,0,82,
Sought: OP,0,5167,0,0,0,82,
Sought: IP,0,3692,819,212,0,82,
Acuity 1,0,0,0,0,0,82,
Acuity 2,6719,0,0,0,0,82,
Acuity 3,0,5167,0,0,0,82,
Acuity 4,0,2738,726,0,0,82,
Acuity 5,0,954,93,212,0,82,
Sought: Home,6823,0,0,0,0,83,
Sought: OP,0,5115,0,0,0,83,
Sought: IP,0,3703,753,236,0,83,
Acuity 1,0,0,0,0,0,83,
Acuity 2,6823,0,0,0,0,83,
Acuity 3,0,5115,0,0,0,83,
Acuity 4,0,2714,663,0,0,83,
Acuity 5,0,989,90,236,0,83,
Sought: Home,6752,0,0,0,0,84,
Sought: OP,0,5162,0,0,0,84,
Sought: IP,0,3685,848,247,0,84,
Acuity 1,0,0,0,0,0,84,
Acuity 2,6752,0,0,0,0,84,
